source_account,target_account,amount,timestamp,transaction_type,transaction_ref,narration
ACC-VICTIM-01,ACC-MULE-101,50000,2026-06-01T09:15:00Z,IMPS,TXN-001,"Initial investment deposit - Golden Profit"
ACC-VICTIM-01,ACC-MULE-101,150000,2026-06-02T11:30:00Z,IMPS,TXN-002,"VIP tier upgrade fee"
ACC-MULE-101,ACC-MULE-102,190000,2026-06-02T14:45:00Z,RTGS,TXN-003,"Fund consolidation"
ACC-MULE-101,ACC-BINANCE-99,10000,2026-06-02T15:00:00Z,UPI,TXN-004,"Crypto purchase P2P"
ACC-VICTIM-02,ACC-MULE-102,85000,2026-06-03T10:10:00Z,NEFT,TXN-005,"Golden Profit onboarding"
ACC-MULE-102,ACC-MULE-103,270000,2026-06-03T16:20:00Z,RTGS,TXN-006,"Layering transfer"
ACC-MULE-103,ACC-BINANCE-99,265000,2026-06-04T09:05:00Z,IMPS,TXN-007,"USDT Exchange settlement"
ACC-VICTIM-03,ACC-MULE-101,200000,2026-06-05T12:00:00Z,RTGS,TXN-008,"High yield return deposit"
ACC-MULE-101,ACC-MULE-103,195000,2026-06-05T14:30:00Z,IMPS,TXN-009,"Internal pooling"
ACC-MULE-103,ACC-BINANCE-99,190000,2026-06-06T11:15:00Z,RTGS,TXN-010,"Crypto purchase P2P"
